Year,AveTempChange
1972,-0.06672277227722773
2005,0.8792511415525114
1994,0.5922477064220184
1980,0.2519154228855721
1985,0.07129441624365483
1986,0.14353266331658293
2022,1.3489506726457399
2014,1.114076923076923
1970,0.10014720812182741
2013,0.9419547511312217
2012,0.9086651583710407
2023,1.6473303167420816
1977,0.18095939086294416
1998,0.974890410958904
1961,0.16654726368159203
1973,0.23749504950495046
1967,-0.10767336683417085
1965,-0.2457336683417085
2018,1.3046995515695066
2015,1.2612556053811659
2009,0.917762331838565
2003,0.841262443438914
1989,0.24738693467336687
2001,0.8502870370370371
1981,0.18124242424242423
1963,-0.01622885572139304
2000,0.6749086757990868
2016,1.4400582959641253
1999,0.7412831050228311
2017,1.2807264573991035
1991,0.37568181818181823
1997,0.5419583333333333
2008,0.8089954545454546
1988,0.47595477386934676
1969,0.1365959595959596
2006,0.8903049327354261
1990,0.55
2020,1.5234227272727274
1975,-0.01387309644670051
1983,0.3335075376884422
1966,0.10726237623762377
1995,0.6223727272727273
2010,1.1195866666666665
1982,0.168155
1976,-0.2421758793969849
2011,0.827271111111111
1979,0.2366281407035176
1968,-0.21314070351758796
1962,-0.02863366336633664
1974,-0.15478606965174133
